dead_zone,model_key,mean_direction_agreement,mean_sign_flip_rate,mean_undirected_items_per_pair
0.0,gemini-31-flash-lite,0.8425925925925926,0.1574074074074074,1.3333333333333333
0.0,llama31-8b,0.7095238095238096,0.2904761904761905,2.0
0.0,qwen25-7b,0.5,0.5,1.3333333333333333
0.05,gemini-31-flash-lite,0.9107142857142857,0.08928571428571429,2.3333333333333335
0.05,llama31-8b,0.6904761904761904,0.30952380952380953,3.6666666666666665
0.05,qwen25-7b,0.5654761904761905,0.43452380952380953,3.0
0.1,gemini-31-flash-lite,0.9583333333333334,0.041666666666666664,3.3333333333333335
0.1,llama31-8b,0.6,0.39999999999999997,4.666666666666667
0.1,qwen25-7b,0.6,0.39999999999999997,4.333333333333333
0.2,gemini-31-flash-lite,1.0,0.0,4.0
0.2,llama31-8b,0.6666666666666666,0.3333333333333333,7.333333333333333
0.2,qwen25-7b,0.27777777777777773,0.7222222222222222,7.666666666666667
