model_key,method,preference_id,raw,adjusted,n_ab,n_ba
gemini-31-flash-lite,pairwise,p01,0.4,0.25,8,2
gemini-31-flash-lite,pairwise,p02,-1.0,-1.0,6,4
gemini-31-flash-lite,pairwise,p03,0.6,0.6,5,5
gemini-31-flash-lite,pairwise,p04,0.6,0.33333333333333337,7,3
gemini-31-flash-lite,pairwise,p05,0.8,0.8,5,5
gemini-31-flash-lite,pairwise,p06,1.0,1.0,7,3
gemini-31-flash-lite,pairwise,p07,-1.0,-1.0,7,3
gemini-31-flash-lite,pairwise,p08,0.0,0.16666666666666669,4,6
gemini-31-flash-lite,pairwise,p09,1.0,1.0,4,6
gemini-31-flash-lite,pairwise,p10,0.2,0.0,6,4
gemini-31-flash-lite,pairwise,p11,1.0,1.0,4,6
gemini-31-flash-lite,self_report,p01,0.0,0.0,5,5
gemini-31-flash-lite,self_report,p02,-0.38,-0.3583333333333333,6,4
gemini-31-flash-lite,self_report,p03,-0.039999999999999994,0.03809523809523807,3,7
gemini-31-flash-lite,self_report,p04,0.51,0.49583333333333335,6,4
gemini-31-flash-lite,self_report,p05,0.36000000000000004,0.24999999999999997,6,4
gemini-31-flash-lite,self_report,p06,0.73,0.7416666666666667,6,4
gemini-31-flash-lite,self_report,p07,-0.33,-0.31250000000000006,4,6
gemini-31-flash-lite,self_report,p08,0.09999999999999998,0.09999999999999998,5,5
gemini-31-flash-lite,self_report,p09,0.5099999999999999,0.51,5,5
gemini-31-flash-lite,self_report,p10,-0.09,-0.08999999999999998,5,5
gemini-31-flash-lite,self_report,p11,0.5399999999999999,0.54,5,5
llama31-8b,pairwise,p01,0.0,0.0,5,5
llama31-8b,pairwise,p02,-1.0,-1.0,5,5
llama31-8b,pairwise,p03,-0.2,-0.4285714285714286,7,3
llama31-8b,pairwise,p04,0.0,0.08333333333333334,4,6
llama31-8b,pairwise,p05,-0.8,-0.8,5,5
llama31-8b,pairwise,p06,0.0,-0.16666666666666669,6,4
llama31-8b,pairwise,p07,-0.6,-0.6,5,5
llama31-8b,pairwise,p08,-0.2,0.14285714285714285,3,7
llama31-8b,pairwise,p09,0.4,0.1904761904761905,3,7
llama31-8b,pairwise,p10,0.6,0.5833333333333333,4,6
llama31-8b,pairwise,p11,0.0,0.2857142857142857,3,7
llama31-8b,pairwise,p12,-0.2,-0.16666666666666666,6,4
llama31-8b,self_report,p01,-0.009999999999999976,0.09583333333333335,4,6
llama31-8b,self_report,p02,-0.6115,-0.6370833333333332,6,4
llama31-8b,self_report,p03,-0.187,-0.3573809523809524,7,3
llama31-8b,self_report,p04,-0.162,0.09190476190476188,3,7
llama31-8b,self_report,p05,0.275,-0.02738095238095234,7,3
llama31-8b,self_report,p06,-0.06000000000000001,-0.19791666666666663,6,4
llama31-8b,self_report,p07,-0.031000000000000038,-0.031000000000000028,5,5
llama31-8b,self_report,p08,0.10000000000000005,0.21666666666666667,4,6
llama31-8b,self_report,p09,0.09,-0.054166666666666696,6,4
llama31-8b,self_report,p10,-0.15000000000000002,-0.01666666666666672,4,6
llama31-8b,self_report,p11,-0.27999999999999997,0.00952380952380949,3,7
llama31-8b,self_report,p12,-0.11249999999999996,0.03333333333333338,4,6
qwen25-7b,pairwise,p01,-0.4,0.0,3,7
qwen25-7b,pairwise,p02,0.4,0.0,7,3
qwen25-7b,pairwise,p03,-0.2,0.0,4,6
qwen25-7b,pairwise,p04,-0.4,0.0,3,7
qwen25-7b,pairwise,p05,-0.4,0.0,3,7
qwen25-7b,pairwise,p06,0.0,0.0,5,5
qwen25-7b,pairwise,p07,0.6,0.0,8,2
qwen25-7b,pairwise,p08,0.2,0.0,6,4
qwen25-7b,pairwise,p09,-0.2,0.0,4,6
qwen25-7b,pairwise,p10,0.0,0.0,5,5
qwen25-7b,pairwise,p11,0.2,0.0,6,4
qwen25-7b,pairwise,p12,-0.4,0.0,3,7
qwen25-7b,self_report,p01,-0.08,-0.08000000000000002,5,5
qwen25-7b,self_report,p02,-0.7,-0.6916666666666667,6,4
qwen25-7b,self_report,p03,-0.11000000000000001,-0.00833333333333336,4,6
qwen25-7b,self_report,p04,-0.1,0.0,4,6
qwen25-7b,self_report,p05,-0.8,-0.8,3,7
qwen25-7b,self_report,p06,0.2,0.0,7,3
qwen25-7b,self_report,p07,-0.4,-0.375,4,6
qwen25-7b,self_report,p08,0.16999999999999998,-0.07857142857142857,7,3
qwen25-7b,self_report,p09,0.3,0.0,8,2
qwen25-7b,self_report,p10,-0.2,0.0,3,7
qwen25-7b,self_report,p11,-0.42000000000000004,-0.42,5,5
qwen25-7b,self_report,p12,-0.2,0.0,3,7
