model_key,method,n_calls,call_failure_rate,parse_failure_rate,pct_strict_json,pct_recovered_from_prose,mean_latency_s,mean_attempts
gemini-31-flash-lite,pairwise,23.0,0.0,0.0,1.0,0.0,13.956521739130435,1.434782608695652
gemini-31-flash-lite,self_report,30.0,0.0,0.0,1.0,0.0,9.267966666666668,1.0
gemini-31-flash-lite,tradeoff,54.0,0.0,0.0,0.9814814814814815,0.018518518518518517,15.234685185185185,1.6111111111111112
llama31-8b,pairwise,420.0,0.0,0.002380952380952381,0.9976190476190476,0.0,0.8679142857142857,1.0
llama31-8b,self_report,420.0,0.0,0.0,0.9976190476190476,0.002380952380952381,1.286252380952381,1.0
llama31-8b,sequential,210.0,0.0,0.0,1.0,0.0,0.7339285714285716,1.0
llama31-8b,tradeoff,378.0,0.0,0.0,0.9973544973544973,0.0026455026455026454,0.8951084656084656,1.0
qwen25-7b,pairwise,420.0,0.0,0.0,1.0,0.0,0.4178119047619048,1.0
qwen25-7b,self_report,420.0,0.0,0.0,1.0,0.0,0.5207452380952381,1.0
qwen25-7b,sequential,210.0,0.0,0.0,1.0,0.0,0.3910666666666666,1.0
qwen25-7b,tradeoff,378.0,0.0,0.0,1.0,0.0,0.4371666666666667,1.0
