model_key,phrasing,cost,avoid_rate,n
llama31-8b,v1_parenthetical,1,0.6666666666666666,6
llama31-8b,v1_parenthetical,2,0.8333333333333334,6
llama31-8b,v1_parenthetical,4,0.5,6
llama31-8b,v1_parenthetical,8,0.6666666666666666,6
llama31-8b,v1_parenthetical,16,0.8333333333333334,6
llama31-8b,v2_explicit,1,0.5,6
llama31-8b,v2_explicit,2,0.5,6
llama31-8b,v2_explicit,4,0.5,6
llama31-8b,v2_explicit,8,0.8333333333333334,6
llama31-8b,v2_explicit,16,1.0,6
llama31-8b,v3_turns,1,0.3333333333333333,6
llama31-8b,v3_turns,2,0.6666666666666666,6
llama31-8b,v3_turns,4,0.8333333333333334,6
llama31-8b,v3_turns,8,1.0,6
llama31-8b,v3_turns,16,0.5,6
qwen25-7b,v1_parenthetical,1,0.6666666666666666,6
qwen25-7b,v1_parenthetical,2,0.5,6
qwen25-7b,v1_parenthetical,4,0.3333333333333333,6
qwen25-7b,v1_parenthetical,8,0.6666666666666666,6
qwen25-7b,v1_parenthetical,16,0.6666666666666666,6
qwen25-7b,v2_explicit,1,0.3333333333333333,6
qwen25-7b,v2_explicit,2,0.5,6
qwen25-7b,v2_explicit,4,0.5,6
qwen25-7b,v2_explicit,8,0.3333333333333333,6
qwen25-7b,v2_explicit,16,0.6666666666666666,6
qwen25-7b,v3_turns,1,0.3333333333333333,6
qwen25-7b,v3_turns,2,0.6666666666666666,6
qwen25-7b,v3_turns,4,0.5,6
qwen25-7b,v3_turns,8,0.6666666666666666,6
qwen25-7b,v3_turns,16,0.16666666666666666,6
