phrasing,cost,avoid_rate,n
v1_parenthetical,1,0.6666666666666666,6
v1_parenthetical,2,0.5,6
v1_parenthetical,4,0.3333333333333333,6
v1_parenthetical,8,0.6666666666666666,6
v1_parenthetical,16,0.6666666666666666,6
v2_explicit,1,0.3333333333333333,6
v2_explicit,2,0.5,6
v2_explicit,4,0.5,6
v2_explicit,8,0.3333333333333333,6
v2_explicit,16,0.6666666666666666,6
v3_turns,1,0.3333333333333333,6
v3_turns,2,0.6666666666666666,6
v3_turns,4,0.5,6
v3_turns,8,0.6666666666666666,6
v3_turns,16,0.16666666666666666,6
